Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,
2083,26-02-2021 22:00,02-25-2021 11:00,26-02-2021 06:06,Hyderabad,395,VANDALISM,74,M,Knife,Other Crime,2,Yes,22-04-2021 22:00,55
2084,27-02-2021 00:00,02-25-2021 04:00,25-02-2021 17:18,Hyderabad,134,EXTORTION,66,F,Poison,Other Crime,8,Yes,13-04-2021 00:00,45
2085,27-02-2021 04:00,02-24-2021 16:00,24-02-2021 16:35,Mumbai,405,VANDALISM,62,F,None,Other Crime,14,No,,
2086,27-02-2021 08:00,02-26-2021 16:00,27-02-2021 09:22,Agra,330,SHOPLIFTING,46,F,None,Other Crime,14,No,,
2087,27-02-2021 11:00,02-25-2021 16:00,25-02-2021 23:37,Jaipur,463,ARSON,60,F,Knife,Fire Accident,6,Yes,15-04-2021 11:00,47
2088,27-02-2021 13:00,02-25-2021 19:00,26-02-2021 00:37,Hyderabad,182,SHOPLIFTING,46,F,Poison,Other Crime,16,No,,
2089,27-02-2021 16:00,02-25-2021 10:00,25-02-2021 21:26,Ahmedabad,510,PUBLIC INTOXICATION,25,F,Poison,Other Crime,13,Yes,23-03-2021 16:00,24
2090,27-02-2021 23:00,02-25-2021 02:00,25-02-2021 04:19,Delhi,193,CYBERCRIME,79,F,None,Other Crime,19,Yes,24-05-2021 23:00,86
2091,28-02-2021 04:00,02-27-2021 19:00,28-02-2021 18:31,Chennai,517,FRAUD,79,M,None,Other Crime,14,No,,
2092,28-02-2021 04:00,02-25-2021 18:00,26-02-2021 06:15,Agra,550,ILLEGAL POSSESSION,33,F,Poison,Other Crime,8,No,,
2093,28-02-2021 05:00,02-28-2021 01:00,28-02-2021 14:46,Jaipur,302,KIDNAPPING,33,F,None,Other Crime,6,No,,
2094,28-02-2021 06:00,02-26-2021 10:00,26-02-2021 12:31,Visakhapatnam,593,VEHICLE - STOLEN,11,M,None,Violent Crime,12,No,,
2095,28-02-2021 09:00,02-26-2021 11:00,26-02-2021 11:01,Kolkata,414,ASSAULT,49,F,None,Violent Crime,16,No,,
2096,28-02-2021 20:00,02-26-2021 03:00,26-02-2021 09:45,Bangalore,290,DRUG OFFENSE,21,M,Knife,Other Crime,3,No,,
2097,28-02-2021 21:00,02-28-2021 11:00,28-02-2021 23:41,Delhi,123,ILLEGAL POSSESSION,62,F,None,Other Crime,16,No,,
2098,01-03-2021 03:00,02-27-2021 08:00,28-02-2021 07:39,Jaipur,225,EXTORTION,20,F,Poison,Other Crime,8,Yes,13-05-2021 03:00,73
2099,01-03-2021 04:00,02-28-2021 23:00,01-03-2021 02:10,Hyderabad,212,COUNTERFEITING,21,M,None,Other Crime,11,Yes,06-04-2021 04:00,36
2100,01-03-2021 08:00,02-27-2021 16:00,28-02-2021 08:32,Thane,140,PUBLIC INTOXICATION,14,F,Poison,Other Crime,5,No,,
2101,01-03-2021 10:00,02-27-2021 00:00,27-02-2021 03:22,Ludhiana,129,PUBLIC INTOXICATION,46,M,Poison,Other Crime,4,Yes,30-03-2021 10:00,29
2102,01-03-2021 10:00,02-27-2021 03:00,27-02-2021 06:21,Pune,432,EXTORTION,18,F,Knife,Other Crime,5,Yes,09-05-2021 10:00,69
2103,01-03-2021 15:00,02-28-2021 19:00,28-02-2021 19:27,Delhi,202,BURGLARY,51,F,None,Other Crime,14,No,,
2104,01-03-2021 17:00,02-28-2021 21:00,01-03-2021 07:25,Patna,386,SHOPLIFTING,56,F,None,Other Crime,4,No,,
2105,01-03-2021 18:00,02-28-2021 16:00,01-03-2021 02:22,Delhi,413,VANDALISM,62,F,Poison,Other Crime,19,No,,
2106,01-03-2021 23:00,02-28-2021 20:00,01-03-2021 07:51,Chennai,557,VANDALISM,77,M,Knife,Other Crime,5,No,,
2107,02-03-2021 07:00,02-27-2021 11:00,28-02-2021 00:48,Ahmedabad,426,TRAFFIC VIOLATION,59,F,Poison,Traffic Fatality,18,No,,
2108,02-03-2021 14:00,02-28-2021 04:00,28-02-2021 09:10,Hyderabad,278,TRAFFIC VIOLATION,70,F,None,Traffic Fatality,15,No,,
2109,02-03-2021 17:00,03-01-2021 16:00,02-03-2021 01:02,Indore,482,IDENTITY THEFT,19,F,None,Violent Crime,5,Yes,18-05-2021 17:00,77
2110,03-03-2021 00:00,03-01-2021 13:00,01-03-2021 19:47,Ahmedabad,560,DRUG OFFENSE,27,F,None,Other Crime,12,No,,
2111,03-03-2021 02:00,03-01-2021 10:00,02-03-2021 08:32,Lucknow,473,ILLEGAL POSSESSION,54,F,Knife,Other Crime,12,No,,
2112,03-03-2021 04:00,03-01-2021 08:00,02-03-2021 04:50,Hyderabad,141,TRAFFIC VIOLATION,19,M,Poison,Traffic Fatality,7,No,,
2113,03-03-2021 08:00,03-02-2021 17:00,03-03-2021 00:51,Ghaziabad,280,SHOPLIFTING,41,F,None,Other Crime,18,Yes,09-05-2021 08:00,67
2114,03-03-2021 12:00,03-02-2021 11:00,02-03-2021 19:35,Bangalore,391,BURGLARY,12,F,None,Other Crime,5,No,,
2115,03-03-2021 14:00,03-02-2021 19:00,03-03-2021 11:12,Ahmedabad,108,COUNTERFEITING,52,F,Knife,Other Crime,1,Yes,12-04-2021 14:00,40
2116,03-03-2021 16:00,03-01-2021 14:00,02-03-2021 03:12,Visakhapatnam,433,CYBERCRIME,23,F,Knife,Other Crime,4,No,,
2117,04-03-2021 00:00,03-01-2021 17:00,02-03-2021 09:31,Chennai,467,ASSAULT,23,F,None,Violent Crime,19,No,,
2118,04-03-2021 03:00,03-02-2021 09:00,02-03-2021 09:27,Ahmedabad,564,EXTORTION,46,F,Knife,Other Crime,15,Yes,01-05-2021 03:00,58
2119,04-03-2021 04:00,03-02-2021 04:00,03-03-2021 02:58,Nagpur,368,HOMICIDE,69,M,Poison,Other Crime,14,Yes,13-07-2022 04:00,496
2120,04-03-2021 05:00,03-02-2021 08:00,02-03-2021 19:39,Mumbai,585,EXTORTION,55,F,Knife,Other Crime,1,No,,
2121,04-03-2021 09:00,03-04-2021 06:00,05-03-2021 01:22,Chennai,463,ROBBERY,25,M,Knife,Violent Crime,9,No,,
2122,04-03-2021 11:00,03-02-2021 14:00,02-03-2021 17:03,Hyderabad,599,ROBBERY,50,M,Knife,Violent Crime,7,Yes,04-05-2021 11:00,61
2123,04-03-2021 12:00,03-03-2021 03:00,03-03-2021 03:00,Lucknow,169,ASSAULT,12,F,None,Violent Crime,17,No,,
2124,04-03-2021 12:00,03-02-2021 15:00,03-03-2021 12:54,Jaipur,112,DRUG OFFENSE,68,M,Knife,Other Crime,9,No,,
2125,04-03-2021 19:00,03-03-2021 00:00,03-03-2021 15:05,Mumbai,184,COUNTERFEITING,60,M,None,Other Crime,3,No,,
2126,04-03-2021 20:00,03-03-2021 01:00,03-03-2021 11:04,Mumbai,560,KIDNAPPING,23,M,Knife,Other Crime,6,No,,
2127,05-03-2021 02:00,03-02-2021 21:00,03-03-2021 10:07,Kalyan,169,ILLEGAL POSSESSION,76,F,Knife,Other Crime,2,No,,
2128,05-03-2021 08:00,03-04-2021 03:00,05-03-2021 00:09,Chennai,360,SHOPLIFTING,73,M,Poison,Other Crime,3,Yes,27-05-2021 08:00,83
2129,05-03-2021 12:00,03-02-2021 20:00,03-03-2021 11:04,Chennai,383,SHOPLIFTING,17,M,Knife,Other Crime,16,No,,
2130,05-03-2021 13:00,03-04-2021 21:00,05-03-2021 01:24,Hyderabad,160,FRAUD,42,F,None,Other Crime,10,No,,
2131,05-03-2021 13:00,03-03-2021 22:00,04-03-2021 16:23,Bangalore,499,ARSON,53,M,Poison,Fire Accident,13,Yes,25-04-2021 13:00,51
2132,05-03-2021 13:00,03-03-2021 14:00,03-03-2021 14:17,Bangalore,581,VEHICLE - STOLEN,12,F,Knife,Violent Crime,2,Yes,19-04-2021 13:00,45
2133,05-03-2021 13:00,03-02-2021 23:00,03-03-2021 11:47,Nagpur,138,ASSAULT,35,F,Knife,Violent Crime,4,No,,
2134,05-03-2021 19:00,03-04-2021 20:00,05-03-2021 05:12,Ahmedabad,201,KIDNAPPING,37,F,Poison,Other Crime,13,No,,
2135,05-03-2021 22:00,03-05-2021 09:00,06-03-2021 01:31,Varanasi,262,ROBBERY,70,F,None,Violent Crime,17,No,,
2136,05-03-2021 22:00,03-04-2021 12:00,04-03-2021 15:20,Delhi,460,DRUG OFFENSE,65,M,None,Other Crime,1,No,,
2137,06-03-2021 01:00,03-05-2021 21:00,05-03-2021 22:37,Agra,288,IDENTITY THEFT,58,F,Knife,Violent Crime,8,Yes,21-04-2021 01:00,46
2138,06-03-2021 02:00,03-05-2021 22:00,05-03-2021 22:17,Jaipur,208,CYBERCRIME,77,F,None,Other Crime,5,Yes,26-04-2021 02:00,51
2139,06-03-2021 03:00,03-03-2021 05:00,04-03-2021 01:56,Chennai,511,EXTORTION,74,F,Poison,Other Crime,8,Yes,18-05-2021 03:00,73
2140,06-03-2021 10:00,03-06-2021 03:00,06-03-2021 07:18,Thane,116,KIDNAPPING,54,F,Knife,Other Crime,5,Yes,16-04-2021 10:00,41
2141,06-03-2021 16:00,03-04-2021 04:00,04-03-2021 06:25,Lucknow,167,KIDNAPPING,45,F,Knife,Other Crime,10,Yes,30-05-2021 16:00,85
2142,06-03-2021 16:00,03-05-2021 02:00,05-03-2021 21:38,Nagpur,476,DRUG OFFENSE,63,M,Knife,Other Crime,2,Yes,20-04-2021 16:00,45
2143,06-03-2021 23:00,03-05-2021 05:00,05-03-2021 23:53,Kanpur,108,DRUG OFFENSE,41,F,None,Other Crime,15,No,,
2144,07-03-2021 09:00,03-06-2021 21:00,07-03-2021 18:45,Varanasi,193,FIREARM OFFENSE,47,M,None,Fire Accident,9,Yes,05-05-2021 09:00,59
2145,07-03-2021 14:00,03-06-2021 04:00,06-03-2021 19:17,Bangalore,169,KIDNAPPING,19,F,Poison,Other Crime,4,No,,
2146,07-03-2021 15:00,03-06-2021 10:00,07-03-2021 05:08,Delhi,275,ROBBERY,16,F,None,Violent Crime,16,Yes,17-08-2021 15:00,163
2147,07-03-2021 19:00,03-05-2021 16:00,06-03-2021 11:24,Mumbai,480,VANDALISM,23,M,None,Other Crime,11,Yes,21-05-2021 19:00,75
2148,07-03-2021 23:00,03-06-2021 12:00,06-03-2021 12:33,Lucknow,190,KIDNAPPING,47,F,Knife,Other Crime,8,No,,
2149,08-03-2021 02:00,03-05-2021 13:00,05-03-2021 21:38,Thane,224,VANDALISM,59,F,None,Other Crime,18,No,,
2150,08-03-2021 03:00,03-06-2021 06:00,07-03-2021 01:21,Ghaziabad,212,VEHICLE - STOLEN,57,F,Poison,Violent Crime,10,No,,
2151,08-03-2021 04:00,03-06-2021 01:00,06-03-2021 16:13,Bangalore,296,FRAUD,47,F,None,Other Crime,17,No,,
2152,08-03-2021 04:00,03-07-2021 20:00,07-03-2021 23:07,Chennai,355,BURGLARY,39,F,Poison,Other Crime,12,Yes,19-06-2021 04:00,103
2153,08-03-2021 12:00,03-06-2021 08:00,07-03-2021 07:35,Lucknow,344,EXTORTION,69,M,None,Other Crime,17,Yes,18-03-2021 12:00,10
2154,08-03-2021 16:00,03-07-2021 14:00,07-03-2021 20:17,Visakhapatnam,507,BURGLARY,56,F,Poison,Other Crime,15,No,,
2155,08-03-2021 18:00,03-07-2021 03:00,07-03-2021 13:57,Patna,155,SEXUAL ASSAULT,29,F,Knife,Violent Crime,7,Yes,11-02-2022 18:00,340
2156,08-03-2021 19:00,03-08-2021 16:00,09-03-2021 12:43,Surat,358,COUNTERFEITING,55,M,None,Other Crime,13,Yes,23-05-2021 19:00,76
2157,08-03-2021 23:00,03-06-2021 19:00,06-03-2021 20:58,Srinagar,164,VANDALISM,73,F,Poison,Other Crime,2,Yes,02-05-2021 23:00,55
2158,09-03-2021 03:00,03-07-2021 15:00,07-03-2021 20:49,Ahmedabad,361,SHOPLIFTING,42,F,Knife,Other Crime,5,Yes,27-03-2021 03:00,18
2159,09-03-2021 12:00,03-09-2021 04:00,09-03-2021 17:16,Chennai,116,ROBBERY,79,M,Knife,Violent Crime,16,Yes,17-04-2021 12:00,39
2160,09-03-2021 12:00,03-08-2021 14:00,08-03-2021 16:19,Delhi,152,PUBLIC INTOXICATION,71,F,Poison,Other Crime,11,Yes,20-03-2021 12:00,11
2161,09-03-2021 14:00,03-06-2021 18:00,07-03-2021 09:33,Hyderabad,115,TRAFFIC VIOLATION,30,F,Knife,Traffic Fatality,13,Yes,24-03-2021 14:00,15
2162,09-03-2021 17:00,03-09-2021 13:00,10-03-2021 01:36,Chennai,189,IDENTITY THEFT,32,F,None,Violent Crime,17,No,,
2163,09-03-2021 20:00,03-08-2021 13:00,08-03-2021 17:17,Delhi,231,VANDALISM,56,M,Poison,Other Crime,7,No,,
2164,09-03-2021 21:00,03-07-2021 17:00,08-03-2021 00:13,Bangalore,241,SEXUAL ASSAULT,22,F,None,Violent Crime,17,No,,
2165,10-03-2021 01:00,03-09-2021 09:00,09-03-2021 15:25,Pune,512,SHOPLIFTING,45,M,None,Other Crime,2,No,,
2166,10-03-2021 03:00,03-09-2021 20:00,10-03-2021 11:17,Pune,160,ASSAULT,22,M,Knife,Violent Crime,12,No,,
2167,10-03-2021 07:00,03-10-2021 00:00,10-03-2021 14:02,Hyderabad,171,SEXUAL ASSAULT,69,F,Knife,Violent Crime,3,No,,
2168,10-03-2021 07:00,03-10-2021 01:00,10-03-2021 05:58,Delhi,405,SHOPLIFTING,48,F,None,Other Crime,13,Yes,25-04-2021 07:00,46
2169,10-03-2021 08:00,03-08-2021 06:00,08-03-2021 16:29,Kolkata,229,COUNTERFEITING,65,F,None,Other Crime,12,No,,
2170,10-03-2021 09:00,03-07-2021 13:00,07-03-2021 15:51,Kanpur,134,SHOPLIFTING,33,F,Poison,Other Crime,16,Yes,03-06-2021 09:00,85
2171,10-03-2021 15:00,03-10-2021 08:00,10-03-2021 21:43,Agra,447,EXTORTION,32,M,None,Other Crime,9,Yes,18-03-2021 15:00,8
2172,10-03-2021 16:00,03-09-2021 02:00,09-03-2021 12:34,Mumbai,394,SHOPLIFTING,57,M,Poison,Other Crime,1,Yes,17-03-2021 16:00,7
2173,10-03-2021 17:00,03-09-2021 05:00,09-03-2021 18:09,Chennai,329,TRAFFIC VIOLATION,54,F,Poison,Traffic Fatality,10,Yes,27-03-2021 17:00,17
2174,10-03-2021 18:00,03-10-2021 05:00,11-03-2021 00:31,Kolkata,245,SEXUAL ASSAULT,37,F,None,Violent Crime,5,Yes,03-07-2022 18:00,480
2175,10-03-2021 18:00,03-09-2021 21:00,10-03-2021 12:05,Delhi,168,ROBBERY,66,M,None,Violent Crime,12,No,,
2176,10-03-2021 20:00,03-10-2021 15:00,11-03-2021 05:42,Hyderabad,228,FIREARM OFFENSE,36,F,Poison,Fire Accident,15,Yes,23-04-2021 20:00,44
2177,11-03-2021 06:00,03-08-2021 12:00,09-03-2021 04:26,Srinagar,148,ASSAULT,54,F,None,Violent Crime,15,No,,
2178,11-03-2021 13:00,03-11-2021 06:00,11-03-2021 15:36,Mumbai,146,VEHICLE - STOLEN,25,M,Poison,Violent Crime,10,Yes,18-04-2021 13:00,38
2179,11-03-2021 19:00,03-10-2021 07:00,10-03-2021 19:08,Bangalore,319,CYBERCRIME,74,F,None,Other Crime,4,No,,
2180,12-03-2021 00:00,03-09-2021 08:00,09-03-2021 19:11,Hyderabad,518,BURGLARY,71,F,None,Other Crime,9,No,,
2181,12-03-2021 01:00,03-09-2021 07:00,09-03-2021 18:12,Patna,430,ARSON,34,F,Poison,Fire Accident,15,Yes,23-03-2021 01:00,11
2182,12-03-2021 04:00,03-10-2021 18:00,11-03-2021 02:45,Delhi,332,DRUG OFFENSE,55,M,None,Other Crime,14,Yes,06-05-2021 04:00,55
2183,12-03-2021 10:00,03-10-2021 17:00,10-03-2021 22:22,Hyderabad,266,DRUG OFFENSE,34,F,Poison,Other Crime,7,No,,
2184,12-03-2021 14:00,03-11-2021 03:00,11-03-2021 18:57,Hyderabad,407,PUBLIC INTOXICATION,20,F,None,Other Crime,4,Yes,02-04-2021 14:00,21
2185,12-03-2021 14:00,03-12-2021 11:00,13-03-2021 07:43,Pune,511,ASSAULT,55,F,Knife,Violent Crime,2,Yes,08-06-2021 14:00,88
2186,12-03-2021 16:00,03-10-2021 23:00,11-03-2021 17:45,Mumbai,233,DOMESTIC VIOLENCE,48,M,Knife,Violent Crime,19,No,,
2187,12-03-2021 22:00,03-11-2021 23:00,12-03-2021 08:15,Faridabad,528,BURGLARY,43,F,Poison,Other Crime,14,No,,
2188,13-03-2021 00:00,03-11-2021 22:00,12-03-2021 11:45,Agra,289,DRUG OFFENSE,55,F,Knife,Other Crime,11,Yes,09-06-2021 00:00,88
2189,13-03-2021 02:00,03-12-2021 05:00,12-03-2021 17:08,Pune,233,ASSAULT,12,M,None,Violent Crime,8,Yes,07-04-2021 02:00,25
2190,13-03-2021 06:00,03-12-2021 08:00,13-03-2021 05:57,Delhi,485,FRAUD,45,M,Knife,Other Crime,3,Yes,25-04-2021 06:00,43
2191,13-03-2021 16:00,03-12-2021 16:00,13-03-2021 01:51,Bangalore,354,PUBLIC INTOXICATION,45,M,Knife,Other Crime,4,Yes,07-04-2021 16:00,25
2192,13-03-2021 17:00,03-12-2021 09:00,12-03-2021 14:04,Kolkata,501,KIDNAPPING,75,M,Poison,Other Crime,1,No,,
2193,13-03-2021 18:00,03-12-2021 03:00,13-03-2021 00:25,Mumbai,233,FIREARM OFFENSE,31,F,Poison,Fire Accident,18,No,,
2194,13-03-2021 18:00,03-12-2021 04:00,12-03-2021 06:24,Jaipur,482,HOMICIDE,61,F,None,Other Crime,14,No,,
2195,14-03-2021 01:00,03-13-2021 22:00,14-03-2021 20:38,Delhi,443,IDENTITY THEFT,51,F,None,Violent Crime,7,No,,
2196,14-03-2021 06:00,03-12-2021 18:00,12-03-2021 20:32,Pune,155,TRAFFIC VIOLATION,26,F,Knife,Traffic Fatality,12,Yes,11-04-2021 06:00,28
2197,14-03-2021 17:00,03-12-2021 07:00,12-03-2021 19:26,Pune,261,ARSON,31,F,None,Fire Accident,1,Yes,30-03-2021 17:00,16
2198,14-03-2021 18:00,03-13-2021 17:00,14-03-2021 04:33,Pune,543,DRUG OFFENSE,50,M,Knife,Other Crime,1,No,,
2199,14-03-2021 19:00,03-14-2021 16:00,14-03-2021 19:27,Delhi,137,KIDNAPPING,19,F,None,Other Crime,1,No,,
2200,14-03-2021 20:00,03-12-2021 17:00,13-03-2021 12:24,Delhi,571,KIDNAPPING,48,M,Poison,Other Crime,12,Yes,06-05-2021 20:00,53
2201,14-03-2021 21:00,03-12-2021 19:00,13-03-2021 14:10,Bangalore,522,SEXUAL ASSAULT,58,F,None,Violent Crime,15,Yes,14-02-2022 21:00,337
2202,14-03-2021 21:00,03-14-2021 08:00,14-03-2021 14:29,Nagpur,493,TRAFFIC VIOLATION,15,M,Knife,Traffic Fatality,16,Yes,23-03-2021 21:00,9
2203,14-03-2021 22:00,03-13-2021 03:00,13-03-2021 03:18,Bangalore,557,PUBLIC INTOXICATION,19,M,None,Other Crime,7,No,,
2204,15-03-2021 09:00,03-14-2021 00:00,14-03-2021 10:40,Hyderabad,307,PUBLIC INTOXICATION,55,F,Poison,Other Crime,19,Yes,26-03-2021 09:00,11
2205,15-03-2021 10:00,03-15-2021 01:00,16-03-2021 00:26,Visakhapatnam,180,DRUG OFFENSE,52,F,None,Other Crime,5,No,,
2206,15-03-2021 10:00,03-12-2021 21:00,13-03-2021 03:06,Hyderabad,597,VEHICLE - STOLEN,76,F,None,Violent Crime,4,No,,
2207,16-03-2021 00:00,03-14-2021 19:00,14-03-2021 20:04,Jaipur,425,VANDALISM,61,F,None,Other Crime,8,No,,
2208,16-03-2021 00:00,03-15-2021 08:00,15-03-2021 14:35,Ludhiana,121,ROBBERY,47,F,None,Violent Crime,7,Yes,24-04-2021 00:00,39
2209,16-03-2021 01:00,03-13-2021 04:00,13-03-2021 14:47,Delhi,584,FIREARM OFFENSE,49,M,Poison,Fire Accident,14,No,,
2210,16-03-2021 01:00,03-15-2021 00:00,15-03-2021 16:16,Bangalore,590,PUBLIC INTOXICATION,28,M,Knife,Other Crime,16,No,,
2211,16-03-2021 14:00,03-14-2021 04:00,14-03-2021 09:40,Hyderabad,436,ROBBERY,76,F,None,Violent Crime,16,No,,
2212,16-03-2021 15:00,03-15-2021 02:00,15-03-2021 22:59,Bhopal,164,SHOPLIFTING,60,F,Poison,Other Crime,9,Yes,07-04-2021 15:00,22
2213,16-03-2021 17:00,03-15-2021 13:00,16-03-2021 04:13,Chennai,536,FRAUD,39,M,Poison,Other Crime,12,No,,
2214,16-03-2021 21:00,03-15-2021 07:00,16-03-2021 00:23,Mumbai,144,VANDALISM,23,F,Knife,Other Crime,7,No,,
2215,16-03-2021 21:00,03-15-2021 17:00,16-03-2021 02:06,Thane,332,DRUG OFFENSE,28,M,None,Other Crime,5,Yes,09-04-2021 21:00,24
2216,17-03-2021 06:00,03-16-2021 13:00,17-03-2021 11:59,Chennai,392,SHOPLIFTING,14,M,None,Other Crime,7,Yes,08-05-2021 06:00,52
2217,17-03-2021 07:00,03-14-2021 13:00,15-03-2021 02:27,Rajkot,474,VANDALISM,19,M,Poison,Other Crime,3,No,,
2218,17-03-2021 11:00,03-16-2021 01:00,16-03-2021 17:58,Mumbai,274,EXTORTION,25,F,Poison,Other Crime,1,Yes,01-04-2021 11:00,15
2219,17-03-2021 13:00,03-17-2021 12:00,17-03-2021 20:12,Chennai,207,VANDALISM,38,M,None,Other Crime,11,No,,
2220,17-03-2021 18:00,03-14-2021 23:00,15-03-2021 02:17,Jaipur,199,FIREARM OFFENSE,49,M,None,Fire Accident,14,Yes,12-05-2021 18:00,56
2221,17-03-2021 23:00,03-16-2021 11:00,17-03-2021 01:01,Jaipur,353,SEXUAL ASSAULT,65,M,None,Violent Crime,10,Yes,11-11-2022 23:00,604
2222,18-03-2021 03:00,03-15-2021 10:00,15-03-2021 11:03,Thane,407,FRAUD,40,F,Poison,Other Crime,3,Yes,15-06-2021 03:00,89
2223,18-03-2021 03:00,03-18-2021 01:00,18-03-2021 10:59,Ahmedabad,491,PUBLIC INTOXICATION,35,M,None,Other Crime,18,Yes,13-04-2021 03:00,26
2224,18-03-2021 05:00,03-16-2021 19:00,16-03-2021 22:45,Ahmedabad,225,SEXUAL ASSAULT,21,F,None,Violent Crime,18,No,,
2225,18-03-2021 09:00,03-16-2021 12:00,16-03-2021 22:19,Surat,269,KIDNAPPING,75,F,None,Other Crime,3,No,,
2226,18-03-2021 14:00,03-15-2021 18:00,16-03-2021 07:43,Hyderabad,180,FRAUD,63,M,Poison,Other Crime,12,Yes,11-05-2021 14:00,54
2227,18-03-2021 19:00,03-16-2021 23:00,17-03-2021 13:53,Visakhapatnam,197,KIDNAPPING,33,M,None,Other Crime,6,No,,
2228,18-03-2021 20:00,03-16-2021 10:00,16-03-2021 15:45,Hyderabad,377,IDENTITY THEFT,21,M,None,Violent Crime,12,No,,
2229,18-03-2021 23:00,03-16-2021 06:00,16-03-2021 18:41,Surat,121,VEHICLE - STOLEN,58,F,Knife,Violent Crime,6,Yes,13-04-2021 23:00,26
2230,19-03-2021 00:00,03-16-2021 07:00,16-03-2021 19:20,Bangalore,468,DOMESTIC VIOLENCE,55,F,Poison,Violent Crime,13,No,,
2231,19-03-2021 00:00,03-17-2021 10:00,17-03-2021 13:02,Kolkata,313,KIDNAPPING,78,F,None,Other Crime,12,No,,
2232,19-03-2021 08:00,03-18-2021 10:00,18-03-2021 13:09,Mumbai,276,VEHICLE - STOLEN,54,F,None,Violent Crime,1,Yes,13-06-2021 08:00,86
2233,19-03-2021 16:00,03-19-2021 05:00,19-03-2021 21:11,Pune,583,PUBLIC INTOXICATION,26,F,Knife,Other Crime,2,Yes,21-03-2021 16:00,2
2234,19-03-2021 20:00,03-19-2021 15:00,19-03-2021 17:52,Chennai,423,DRUG OFFENSE,27,F,Poison,Other Crime,17,No,,
2235,20-03-2021 00:00,03-17-2021 23:00,18-03-2021 21:31,Hyderabad,199,EXTORTION,16,F,Knife,Other Crime,14,Yes,30-05-2021 00:00,71
2236,20-03-2021 06:00,03-17-2021 07:00,17-03-2021 13:10,Hyderabad,147,IDENTITY THEFT,67,F,Poison,Violent Crime,5,Yes,27-03-2021 06:00,7
2237,20-03-2021 07:00,03-19-2021 02:00,19-03-2021 03:17,Bhopal,109,ILLEGAL POSSESSION,17,M,None,Other Crime,6,Yes,11-04-2021 07:00,22
2238,20-03-2021 09:00,03-19-2021 08:00,19-03-2021 14:54,Pune,462,KIDNAPPING,11,F,Knife,Other Crime,12,No,,
2239,20-03-2021 12:00,03-20-2021 02:00,20-03-2021 10:32,Mumbai,386,DRUG OFFENSE,60,F,Knife,Other Crime,6,Yes,08-05-2021 12:00,49
2240,20-03-2021 13:00,03-18-2021 04:00,18-03-2021 13:15,Indore,591,KIDNAPPING,49,F,Poison,Other Crime,10,No,,
2241,20-03-2021 14:00,03-19-2021 09:00,19-03-2021 11:51,Delhi,431,ROBBERY,45,F,None,Violent Crime,11,No,,
2242,20-03-2021 18:00,03-19-2021 07:00,19-03-2021 20:31,Delhi,493,KIDNAPPING,72,M,Poison,Other Crime,18,Yes,30-03-2021 18:00,10
2243,20-03-2021 18:00,03-18-2021 23:00,19-03-2021 00:33,Ludhiana,596,ROBBERY,24,F,Poison,Violent Crime,3,Yes,12-08-2021 18:00,145
2244,20-03-2021 18:00,03-20-2021 05:00,21-03-2021 01:23,Ahmedabad,122,ARSON,23,F,Poison,Fire Accident,2,Yes,16-04-2021 18:00,27
2245,20-03-2021 20:00,03-20-2021 17:00,21-03-2021 10:26,Kolkata,359,EXTORTION,52,F,None,Other Crime,5,Yes,07-06-2021 20:00,79
2246,20-03-2021 20:00,03-20-2021 08:00,21-03-2021 04:56,Mumbai,223,PUBLIC INTOXICATION,11,F,Knife,Other Crime,18,No,,
2247,20-03-2021 22:00,03-18-2021 17:00,19-03-2021 03:25,Delhi,439,FRAUD,73,F,None,Other Crime,15,Yes,29-03-2021 22:00,9
2248,21-03-2021 00:00,03-19-2021 17:00,19-03-2021 21:23,Mumbai,330,ILLEGAL POSSESSION,35,F,Knife,Other Crime,8,No,,
2249,21-03-2021 07:00,03-20-2021 10:00,21-03-2021 04:20,Kolkata,253,FRAUD,39,F,Poison,Other Crime,5,Yes,16-05-2021 07:00,56
2250,21-03-2021 09:00,03-21-2021 01:00,21-03-2021 10:23,Jaipur,112,ILLEGAL POSSESSION,26,F,Poison,Other Crime,16,Yes,19-04-2021 09:00,29
2251,21-03-2021 12:00,03-19-2021 10:00,20-03-2021 08:36,Mumbai,254,FRAUD,31,F,None,Other Crime,15,Yes,12-06-2021 12:00,83
2252,21-03-2021 23:00,03-20-2021 11:00,20-03-2021 12:56,Delhi,129,ROBBERY,49,F,Poison,Violent Crime,5,Yes,26-05-2021 23:00,66
2253,22-03-2021 00:00,03-19-2021 03:00,19-03-2021 11:34,Delhi,310,EXTORTION,11,F,None,Other Crime,19,No,,
2254,22-03-2021 05:00,03-20-2021 00:00,20-03-2021 21:18,Bangalore,207,PUBLIC INTOXICATION,18,F,None,Other Crime,4,No,,
2255,22-03-2021 05:00,03-20-2021 23:00,21-03-2021 02:49,Delhi,520,PUBLIC INTOXICATION,36,M,None,Other Crime,18,Yes,01-04-2021 05:00,10
2256,22-03-2021 08:00,03-19-2021 13:00,19-03-2021 13:53,Kolkata,417,DOMESTIC VIOLENCE,22,M,None,Violent Crime,1,Yes,08-04-2021 08:00,17
